Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Algeria,DZA,"Population ages 65 and above, total",SP.POP.65UP.TO,2329507,2436321,2556696,2686782,..
American Samoa,ASM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,..,..,..,..,..
American Samoa,ASM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,..,..,..,..,..
American Samoa,ASM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..
American Samoa,ASM,"Population ages 0-14, total",SP.POP.0014.TO,..,..,..,..,..
American Samoa,ASM,"Population ages 15-64, total",SP.POP.1564.TO,..,..,..,..,..
American Samoa,ASM,"Population ages 65 and above, total",SP.POP.65UP.TO,..,..,..,..,..
Andorra,AND,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,..,..,..,..,..
Andorra,AND,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,..,..,..,..,..
Andorra,AND,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..
Andorra,AND,"Population ages 0-14, total",SP.POP.0014.TO,..,..,..,..,..
Andorra,AND,"Population ages 15-64, total",SP.POP.1564.TO,..,..,..,..,..
Andorra,AND,"Population ages 65 and above, total",SP.POP.65UP.TO,..,..,..,..,..
Angola,AGO,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,47.108971147683,47.0533524343201,46.9530162996215,46.8089247095412,..
Angola,AGO,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,50.6151669639,50.6856291078069,50.8077871356001,50.9747016426956,..
Angola,AGO,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.27586188841703,2.26101845787304,2.23919656477835,2.21637364776329,..
Angola,AGO,"Population ages 0-14, total",SP.POP.0014.TO,13136045,13571356,13999863,14421718,..
Angola,AGO,"Population ages 15-64, total",SP.POP.1564.TO,14113726,14618994,15149230,15705184,..
Angola,AGO,"Population ages 65 and above, total",SP.POP.65UP.TO,634610,652134,667656,682859,..
Antigua and Barbuda,ATG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,22.5744394331274,22.4073545124673,22.2318864879593,22.0810917475022,..
Antigua and Barbuda,ATG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,69.2687514695509,69.2320712600633,69.1928824429401,69.1190827326922,..
Antigua and Barbuda,ATG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.15680909732168,8.3605742274694,8.57523106910066,8.79982551980558,..
Antigua and Barbuda,ATG,"Population ages 0-14, total",SP.POP.0014.TO,21122,21181,21215,21261,..
Antigua and Barbuda,ATG,"Population ages 15-64, total",SP.POP.1564.TO,64812,65443,66028,66552,..
Antigua and Barbuda,ATG,"Population ages 65 and above, total",SP.POP.65UP.TO,7632,7903,8183,8473,..
Argentina,ARG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,25.2111645305991,25.0794558115824,24.9267703815041,24.7609338351238,..
Argentina,ARG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,64.0600197569769,64.0605666116429,64.0835225051061,64.1212772887989,..
Argentina,ARG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,10.728815712424,10.8599775767747,10.9897071133897,11.1177888760774,..
Argentina,ARG,"Population ages 0-14, total",SP.POP.0014.TO,10874071,10932227,10978949,11017254,..
Argentina,ARG,"Population ages 15-64, total",SP.POP.1564.TO,27630346,27924237,28225466,28530443,..
Argentina,ARG,"Population ages 65 and above, total",SP.POP.65UP.TO,4627549,4733904,4840396,4946805,..
Armenia,ARM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,20.0800327322732,20.2602189334784,20.4543887834485,20.6334219249969,..
Armenia,ARM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,69.0425707549991,68.7610582999534,68.4489663273217,68.11276041799,..
Armenia,ARM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,10.8773965127277,10.9787227665683,11.0966448892298,11.2538176570131,..
Armenia,ARM,"Population ages 0-14, total",SP.POP.0014.TO,587452,594870,602343,609052,..
Armenia,ARM,"Population ages 15-64, total",SP.POP.1564.TO,2019877,2018925,2015691,2010536,..
Armenia,ARM,"Population ages 65 and above, total",SP.POP.65UP.TO,318224,322351,326775,332187,..
Aruba,ABW,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,18.7030984943598,18.2574948508658,17.9801833608564,17.8024469743493,..
Aruba,ABW,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,69.1597742018957,69.1376153787474,68.9463394263804,68.6466058859653,..
Aruba,ABW,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,12.1371273037445,12.6048897703868,13.0734772127631,13.5509471396854,..
Aruba,ABW,"Population ages 0-14, total",SP.POP.0014.TO,19515,19147,18945,18843,..
Aruba,ABW,"Population ages 15-64, total",SP.POP.1564.TO,72162,72506,72646,72659,..
Aruba,ABW,"Population ages 65 and above, total",SP.POP.65UP.TO,12664,13219,13775,14343,..
Australia,AUS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,18.8873399028652,18.9523083816846,19.0650374095674,19.1906170385658,..
Australia,AUS,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,66.2580494091257,65.9065730162399,65.5309417025767,65.1529077338752,..
Australia,AUS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.8546106880091,15.1411186020755,15.4040208878559,15.6564752275591,..
Australia,AUS,"Population ages 0-14, total",SP.POP.0014.TO,4498208,4584735,4690354,4796190,..
Australia,AUS,"Population ages 15-64, total",SP.POP.1564.TO,15780014,15943398,16121831,16283255,..
Australia,AUS,"Population ages 65 and above, total",SP.POP.65UP.TO,3537773,3662774,3789676,3912924,..
Austria,AUT,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.1199793516511,14.1706567545806,14.2309193719975,14.2979476320233,..
Austria,AUT,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,67.0395429709195,66.9201962982639,66.812507305921,66.7004859083869,..
Austria,AUT,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,18.8404776774295,18.9091469471555,18.9565733220815,19.0015664595899,..
Austria,AUT,"Population ages 0-14, total",SP.POP.0014.TO,1220347,1238043,1251975,1264945,..
Austria,AUT,"Population ages 15-64, total",SP.POP.1564.TO,5794026,5846595,5877874,5901017,..
Austria,AUT,"Population ages 65 and above, total",SP.POP.65UP.TO,1628326,1652029,1667717,1681076,..
Azerbaijan,AZE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,22.8738888955283,23.1373361847313,23.2876635802595,23.3695698603865,..
Azerbaijan,AZE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,71.3895878982556,71.0271411085592,70.7226479179956,70.4352473888986,..
Azerbaijan,AZE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.7365232062161,5.83552270670949,5.98968850174499,6.19518275071493,..
Azerbaijan,AZE,"Population ages 0-14, total",SP.POP.0014.TO,2207180,2257698,2294774,2323481,..
Azerbaijan,AZE,"Population ages 15-64, total",SP.POP.1564.TO,6888625,6930695,6969033,7002908,..
Azerbaijan,AZE,"Population ages 65 and above, total",SP.POP.65UP.TO,553537,569419,590226,615946,..
"Bahamas, The",BHS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,23.9902620481767,23.3530018786548,22.8740946418514,22.4848756732367,..
"Bahamas, The",BHS,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,69.3177020143985,69.7719154340751,70.0653560529659,70.2575219701429,..
"Bahamas, The",BHS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.69203593742484,6.87508268727013,7.06054930518264,7.25760235662035,..
"Bahamas, The",BHS,"Population ages 0-14, total",SP.POP.0014.TO,89773,88258,87324,86711,..
"Bahamas, The",BHS,"Population ages 15-64, total",SP.POP.1564.TO,259391,263690,267482,270941,..
"Bahamas, The",BHS,"Population ages 65 and above, total",SP.POP.65UP.TO,25042,25983,26954,27988,..
Bahrain,BHR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,20.8497132706103,20.3899306490708,19.8414940069983,19.2543101196218,..
Bahrain,BHR,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,76.826054724602,77.267581807164,77.7862036469363,78.3193560020542,..
Bahrain,BHR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.32423200478769,2.34248754376515,2.37230234606539,2.42633387832394,..
Bahrain,BHR,"Population ages 0-14, total",SP.POP.0014.TO,286027,290718,296447,302185,..
Bahrain,BHR,"Population ages 15-64, total",SP.POP.1564.TO,1053939,1101674,1162183,1229175,..
Bahrain,BHR,"Population ages 65 and above, total",SP.POP.65UP.TO,31885,33399,35444,38080,..
Bangladesh,BGD,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,29.2780668854543,28.7530634255702,28.2245879874421,27.706022482501,..
Bangladesh,BGD,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,65.6185771379833,66.1113230721407,66.625937004745,67.1355868778783,..
Bangladesh,BGD,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.1033559765625,5.13561350228916,5.14947500781286,5.15839063962068,..
Bangladesh,BGD,"Population ages 0-14, total",SP.POP.0014.TO,45748817,45421456,45066367,44705340,..
Bangladesh,BGD,"Population ages 15-64, total",SP.POP.1564.TO,102533145,104436612,106382029,108327324,..
Bangladesh,BGD,"Population ages 65 and above, total",SP.POP.65UP.TO,7974314,8112772,8222197,8323375,..
Barbados,BRB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,18.2823737225049,17.951965737799,17.6402358925627,17.342948147683,..
Barbados,BRB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,67.0318655283117,67.006186230738,66.9488387042679,66.8543578901832,..
Barbados,BRB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.6857607491834,15.041848031463,15.4109254031695,15.8026939621338,..
Barbados,BRB,"Population ages 0-14, total",SP.POP.0014.TO,52164,51306,50492,49712,..
Barbados,BRB,"Population ages 15-64, total",SP.POP.1564.TO,191258,191501,191630,191632,..
Barbados,BRB,"Population ages 65 and above, total",SP.POP.65UP.TO,41902,42989,44111,45297,..
Belarus,BLR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.2635576348258,16.5141430816303,16.7078878812592,16.8659430504801,..
Belarus,BLR,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,69.4136283541907,69.0701098908777,68.7169869180976,68.2889087752101,..
Belarus,BLR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.3228140109835,14.4157470274919,14.5751252006432,14.8451481743098,..
Belarus,BLR,"Population ages 0-14, total",SP.POP.0014.TO,1543349,1569097,1586959,1599800,..
Belarus,BLR,"Population ages 15-64, total",SP.POP.1564.TO,6587087,6562720,6526921,6477467,..
Belarus,BLR,"Population ages 65 and above, total",SP.POP.65UP.TO,1359180,1369717,1384384,1408120,..
Belgium,BEL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,17.0041566486002,17.0167036273099,17.0364792638156,17.0554227603857,..
Belgium,BEL,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,64.8535339486213,64.6114376604001,64.3794416479243,64.1558335012748,..
Belgium,BEL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,18.1423094027785,18.37185871229,18.5840790882601,18.7887437383395,..
Belgium,BEL,"Population ages 0-14, total",SP.POP.0014.TO,1917082,1928234,1937926,1948082,..
Belgium,BEL,"Population ages 15-64, total",SP.POP.1564.TO,7311715,7321395,7323263,7327923,..
Belgium,BEL,"Population ages 65 and above, total",SP.POP.65UP.TO,2045400,2081793,2113968,2146063,..
Belize,BLZ,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,32.1026340068655,31.5236156351791,30.903560432074,30.2797653698662,..
Belize,BLZ,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,63.4804797566307,63.9657980456026,64.4805718406787,64.9837758535624,..
Belize,BLZ,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.41688623650373,4.51058631921824,4.61586772724733,4.73645877657144,..
Belize,BLZ,"Population ages 0-14, total",SP.POP.0014.TO,115869,116133,116126,115993,..
Belize,BLZ,"Population ages 15-64, total",SP.POP.1564.TO,229122,235650,242298,248934,..
Belize,BLZ,"Population ages 65 and above, total",SP.POP.65UP.TO,15942,16617,17345,18144,..
Benin,BEN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.0370901834653,42.8661699256158,42.6685773263257,42.4476823945995,..
Benin,BEN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,53.735190931275,53.8983079844184,54.0874712018525,54.2987123079372,..
Benin,BEN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.22771888525969,3.23552208996581,3.2439514718218,3.25360529746338,..
Benin,BEN,"Population ages 0-14, total",SP.POP.0014.TO,4551582,4660439,4768301,4875137,..
Benin,BEN,"Population ages 15-64, total",SP.POP.1564.TO,5683008,5859860,6044385,6236233,..
Benin,BEN,"Population ages 65 and above, total",SP.POP.65UP.TO,341362,351768,362518,373678,..
Bermuda,BMU,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,..,..,..,..,..
Bermuda,BMU,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,..,..,..,..,..
Bermuda,BMU,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..
Bermuda,BMU,"Population ages 0-14, total",SP.POP.0014.TO,..,..,..,..,..
Bermuda,BMU,"Population ages 15-64, total",SP.POP.1564.TO,..,..,..,..,..
Bermuda,BMU,"Population ages 65 and above, total",SP.POP.65UP.TO,..,..,..,..,..
Bhutan,BTN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,27.3788392528398,26.7426171563225,26.2193805218338,25.7713537330923,..
Bhutan,BTN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,66.8780121888893,67.4147694880468,67.8557009937457,68.2256345541021,..
Bhutan,BTN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.74314855827091,5.84261335563072,5.9249184844205,6.00301171280561,..
Bhutan,BTN,"Population ages 0-14, total",SP.POP.0014.TO,199284,197015,195483,194418,..
Bhutan,BTN,"Population ages 15-64, total",SP.POP.1564.TO,486789,496651,505910,514690,..
Bhutan,BTN,"Population ages 65 and above, total",SP.POP.65UP.TO,41803,43043,44174,45286,..
Bolivia,BOL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,32.4049539408983,31.983443520712,31.5346173965445,31.0735477456373,..
Bolivia,BOL,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,60.8389076821595,61.1159325202546,61.4195037816536,61.7345048621782,..
Bolivia,BOL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.75613837694221,6.90062395903339,7.04587882180194,7.19194739218447,..
Bolivia,BOL,"Population ages 0-14, total",SP.POP.0014.TO,3522331,3528354,3529624,3527824,..
Bolivia,BOL,"Population ages 15-64, total",SP.POP.1564.TO,6613025,6742195,6874595,7008806,..
Bolivia,BOL,"Population ages 65 and above, total",SP.POP.65UP.TO,734374,761264,788635,816512,..
Bosnia and Herzegovina,BIH,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,15.2415566631801,14.9211845732143,14.7957123995793,14.7662176493152,..
Bosnia and Herzegovina,BIH,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,70.2778739246174,70.0003779974757,69.4545318921983,68.7634648796227,..
Bosnia and Herzegovina,BIH,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.4805694122024,15.07843742931,15.7497557082224,16.4703174710621,..
Bosnia and Herzegovina,BIH,"Population ages 0-14, total",SP.POP.0014.TO,522688,505271,495882,490819,..
Bosnia and Herzegovina,BIH,"Population ages 15-64, total",SP.POP.1564.TO,2410082,2370400,2327787,2285649,..
Bosnia and Herzegovina,BIH,"Population ages 65 and above, total",SP.POP.65UP.TO,496591,510596,527857,547462,..
Botswana,BWA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,34.9166036376394,34.7144139593607,34.4388412211802,34.1129460158256,..
Botswana,BWA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,61.2468147550167,61.3285078616083,61.4743229270593,61.6631796378814,..
Botswana,BWA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.83658160734393,3.95707817903105,4.08683585176048,4.22387434629301,..
Botswana,BWA,"Population ages 0-14, total",SP.POP.0014.TO,740482,749812,759421,768949,..
Botswana,BWA,"Population ages 15-64, total",SP.POP.1564.TO,1298871,1324661,1355588,1389966,..
Botswana,BWA,"Population ages 65 and above, total",SP.POP.65UP.TO,81363,85471,90120,95211,..
Brazil,BRA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,22.4208223092157,22.0495231024737,21.6838368026363,21.3340719108545,..
Brazil,BRA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,69.5661340906186,69.6487895917995,69.7106712029254,69.7430902567055,..
Brazil,BRA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.01304360016565,8.30168730572689,8.60549199443827,8.92283783244003,..
Brazil,BRA,"Population ages 0-14, total",SP.POP.0014.TO,45844252,45457971,45066349,44688338,..
Brazil,BRA,"Population ages 15-64, total",SP.POP.1564.TO,142243105,143590074,144882359,146090386,..
Brazil,BRA,"Population ages 65 and above, total",SP.POP.65UP.TO,16384412,17115012,17885124,18690609,..
British Virgin Islands,VGB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,..,..,..,..,..
British Virgin Islands,VGB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,..,..,..,..,..
British Virgin Islands,VGB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..
British Virgin Islands,VGB,"Population ages 0-14, total",SP.POP.0014.TO,..,..,..,..,..
British Virgin Islands,VGB,"Population ages 15-64, total",SP.POP.1564.TO,..,..,..,..,..
British Virgin Islands,VGB,"Population ages 65 and above, total",SP.POP.65UP.TO,..,..,..,..,..
Brunei Darussalam,BRN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,24.0887717006462,23.8835159599809,23.495958517974,23.0264614896856,..
Brunei Darussalam,BRN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,71.8373032992936,71.815864697475,71.9362597856636,72.1003909428086,..
Brunei Darussalam,BRN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.07392500006025,4.30061934254407,4.56778169636231,4.87314756750582,..
Brunei Darussalam,BRN,"Population ages 0-14, total",SP.POP.0014.TO,99946,100263,99734,98775,..
Brunei Darussalam,BRN,"Population ages 15-64, total",SP.POP.1564.TO,298058,301483,305350,309283,..
Brunei Darussalam,BRN,"Population ages 65 and above, total",SP.POP.65UP.TO,16903,18054,19389,20904,..
Bulgaria,BGR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.2737356802141,14.3163832312656,14.4447319823993,14.5954653179814,..
Bulgaria,BGR,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,65.7074330868291,65.254273902527,64.7976668313048,64.3826202477506,..
Bulgaria,BGR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,20.0188312329569,20.4293428662073,20.7576011862959,21.021914434268,..
Bulgaria,BGR,"Population ages 0-14, total",SP.POP.0014.TO,1024567,1020446,1022102,1025217,..
Bulgaria,BGR,"Population ages 15-64, total",SP.POP.1564.TO,4716474,4651208,4585049,4522374,..
Bulgaria,BGR,"Population ages 65 and above, total",SP.POP.65UP.TO,1436950,1456167,1468797,1476625,..
Burkina Faso,BFA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,45.5739404672087,45.3876432806687,45.1815311583238,44.9480813221662,..
Burkina Faso,BFA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,52.0181855688683,52.2026259606635,52.4098388004856,52.6449378491703,..
Burkina Faso,BFA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.40787396392306,2.40973075866777,2.40863004119056,2.40698082866355,..
Burkina Faso,BFA,"Population ages 0-14, total",SP.POP.0014.TO,8253725,8463152,8671820,8877936,..
Burkina Faso,BFA,"Population ages 15-64, total",SP.POP.1564.TO,9420818,9733899,10059169,10398183,..
Burkina Faso,BFA,"Population ages 65 and above, total",SP.POP.65UP.TO,436081,449328,462295,475416,..
Burundi,BDI,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,45.5206825176697,45.5617398749713,45.5554940838286,45.5016807491186,..
Burundi,BDI,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,52.3834673716515,52.3029616242189,52.2577451836004,52.2513787905443,..
Burundi,BDI,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.09585011067881,2.13529850080974,2.18676073257099,2.24694046033717,..
Burundi,BDI,"Population ages 0-14, total",SP.POP.0014.TO,4624915,4778514,4932304,5084985,..
Burundi,BDI,"Population ages 15-64, total",SP.POP.1564.TO,5322176,5485534,5657959,5839289,..
Burundi,BDI,"Population ages 65 and above, total",SP.POP.65UP.TO,212939,223950,236761,251104,..
Cabo Verde,CPV,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,29.9403708100918,29.5779314915296,29.1831783560125,28.7777669479759,..
Cabo Verde,CPV,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,65.5488496273414,65.9289536210383,66.2843396626592,66.6129058953559,..
Cabo Verde,CPV,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.51077956256682,4.49311488743208,4.5324819813283,4.60932715666821,..
Cabo Verde,CPV,"Population ages 0-14, total",SP.POP.0014.TO,157110,157102,156859,156484,..
Cabo Verde,CPV,"Population ages 15-64, total",SP.POP.1564.TO,343963,350179,356276,362219,..
Cabo Verde,CPV,"Population ages 65 and above, total",SP.POP.65UP.TO,23670,23865,24362,25064,..
Cambodia,KHM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,31.6021790767298,31.3893146213453,31.272428607452,31.2014147627244,..
Cambodia,KHM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,64.2786401979817,64.3530387487432,64.3167339906176,64.2299052197099,..
Cambodia,KHM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.11918072528856,4.25764662991146,4.41083740193033,4.56868001756576,..
Cambodia,KHM,"Population ages 0-14, total",SP.POP.0014.TO,4905112,4948931,5006533,5070167,..
Cambodia,KHM,"Population ages 15-64, total",SP.POP.1564.TO,9976968,10146089,10296732,10437230,..
Cambodia,KHM,"Population ages 65 and above, total",SP.POP.65UP.TO,639356,671273,706149,742401,..
Cameroon,CMR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.2166622142804,43.0635029678954,42.8673276351495,42.6315798448676,..
Cameroon,CMR,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.0539964000912,54.2049039997449,54.401275287263,54.6395427998918,..
Cameroon,CMR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.72934138562838,2.73159303235974,2.73139707758745,2.72887735524057,..
Cameroon,CMR,"Population ages 0-14, total",SP.POP.0014.TO,10068777,10303606,10530807,10750080,..
Cameroon,CMR,"Population ages 15-64, total",SP.POP.1564.TO,12593699,12969357,13364242,13778037,..
Cameroon,CMR,"Population ages 65 and above, total",SP.POP.65UP.TO,635892,653576,670996,688120,..
Canada,CAN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,15.9914808682322,15.8980345295862,15.8700368165769,15.8702508744405,..
Canada,CAN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,67.9548843196081,67.6469556724162,67.28747162393,66.8977424466943,..
Canada,CAN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,16.0536348121597,16.4550097979977,16.8424915594931,17.2320066788651,..
Canada,CAN,"Population ages 0-14, total",SP.POP.0014.TO,5709424,5740699,5798954,5881333,..
Canada,CAN,"Population ages 15-64, total",SP.POP.1564.TO,24261870,24426969,24587022,24791538,..
Canada,CAN,"Population ages 65 and above, total",SP.POP.65UP.TO,5731614,5941820,6154292,6385985,..
Cayman Islands,CYM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,..,..,..,..,..
Cayman Islands,CYM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,..,..,..,..,..
Cayman Islands,CYM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..
Cayman Islands,CYM,"Population ages 0-14, total",SP.POP.0014.TO,..,..,..,..,..
Cayman Islands,CYM,"Population ages 15-64, total",SP.POP.1564.TO,..,..,..,..,..
Cayman Islands,CYM,"Population ages 65 and above, total",SP.POP.65UP.TO,..,..,..,..,..
Central African Republic,CAF,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,45.204810857368,44.954542910197,44.6462300123389,44.294320550801,..
Central African Republic,CAF,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,51.9641811905626,52.2123831397765,52.522169710639,52.879905742539,..
Central African Republic,CAF,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.83100795206947,2.83307395002651,2.83160027702211,2.82577370666008,..
Central African Republic,CAF,"Population ages 0-14, total",SP.POP.0014.TO,2031129,2039896,2051953,2066940,..
